record_date,warehouse_area,picker_name,sku_count,pick_minutes,error_count,pack_wait_minutes,note
2024-06-10,A区,张伟,85,38,1,18,W061001
2024-06-10,A区,李娜,62,25,0,12,W061002
2024-06-10,B区,王强,140,68,3,42,W061003
2024-06-10,B区,赵敏,95,45,0,22,W061004
2024-06-10,C区,刘洋,72,32,0,15,W061005
2024-06-10,C区,陈静,110,55,2,28,W061006
2024-06-10,D区,周涛,55,22,0,8,W061007
2024-06-10,D区,孙丽,210,110,5,75,W061008
2024-06-10,A区,张伟,48,20,0,10,W061009
2024-06-10,B区,王强,165,82,4,55,W061010
2024-06-11,A区,李娜,78,35,1,20,W061101
2024-06-11,A区,张伟,92,42,0,18,W061102
2024-06-11,B区,赵敏,88,40,2,30,W061103
2024-06-11,B区,王强,125,62,1,35,W061104
2024-06-11,C区,陈静,68,30,0,14,W061105
2024-06-11,C区,刘洋,98,46,1,25,W061106
2024-06-11,D区,孙丽,188,95,3,60,W061107
2024-06-11,D区,周涛,42,18,0,9,W061108
2024-06-11,A区,李娜,320,160,8,120,W061109
2024-06-11,B区,赵敏,58,28,0,15,W061110
2024-06-12,A区,张伟,105,48,0,20,W061201
2024-06-12,A区,李娜,76,34,1,18,W061202
2024-06-12,B区,王强,155,76,2,45,W061203
2024-06-12,B区,赵敏,82,38,0,20,W061204
2024-06-12,C区,刘洋,65,28,0,12,W061205
2024-06-12,C区,陈静,148,72,4,50,W061206
2024-06-12,D区,孙丽,198,102,6,85,W061207
2024-06-12,D区,周涛,46,20,0,10,W061208
2024-06-12,A区,张伟,112,52,1,28,W061209
2024-06-12,B区,王强,132,65,3,38,W061210
2024-06-13,A区,李娜,88,40,0,15,W061301
2024-06-13,A区,张伟,75,35,0,16,W061302
2024-06-13,B区,赵敏,96,44,1,22,W061303
2024-06-13,B区,王强,170,85,4,58,W061304
2024-06-13,C区,陈静,72,33,0,14,W061305
2024-06-13,C区,刘洋,108,50,2,28,W061306
2024-06-13,D区,周涛,52,24,0,11,W061307
2024-06-13,D区,孙丽,230,125,7,95,W061308
2024-06-13,A区,李娜,118,56,2,32,W061309
2024-06-13,B区,王强,115,58,1,30,W061310
2024-06-14,A区,张伟,95,42,0,18,W061401
2024-06-14,A区,李娜,70,32,0,14,W061402
2024-06-14,B区,王强,145,70,3,42,W061403
2024-06-14,B区,赵敏,102,48,0,25,W061404
2024-06-14,C区,刘洋,80,36,0,16,W061405
2024-06-14,C区,陈静,125,60,2,36,W061406
2024-06-14,D区,孙丽,178,90,4,70,W061407
2024-06-14,D区,周涛,40,18,0,8,W061408
2024-06-14,A区,张伟,130,60,3,40,W061409
2024-06-14,B区,赵敏,62,30,0,16,W061410
2024-06-15,A区,李娜,82,38,0,16,W061501
2024-06-15,A区,张伟,98,45,1,22,W061502
2024-06-15,B区,王强,162,78,3,52,W061503
2024-06-15,B区,赵敏,88,42,0,20,W061504
2024-06-15,C区,陈静,78,35,0,15,W061505
2024-06-15,C区,刘洋,112,54,2,30,W061506
2024-06-15,D区,孙丽,205,108,5,88,W061507
2024-06-15,D区,周涛,48,22,0,10,W061508
2024-06-15,A区,李娜,268,135,6,105,W061509
2024-06-15,B区,王强,138,68,2,40,W061510
2024-06-16,A区,张伟,108,50,1,25,W061601
2024-06-16,A区,李娜,75,35,0,15,W061602
2024-06-16,B区,赵敏,92,44,2,28,W061603
2024-06-16,B区,王强,152,74,2,48,W061604
2024-06-16,C区,刘洋,85,39,0,18,W061605
2024-06-16,C区,陈静,118,56,3,35,W061606
2024-06-16,D区,孙丽,190,95,4,72,W061607
2024-06-16,D区,周涛,50,23,0,10,W061608
2024-06-16,A区,张伟,140,66,4,45,W061609
2024-06-16,B区,赵敏,70,33,0,18,W061610
2024-06-17,A区,李娜,96,44,0,18,W061701
2024-06-17,A区,张伟,80,38,0,16,W061702
2024-06-17,B区,王强,168,82,3,54,W061703
2024-06-17,B区,赵敏,86,40,1,20,W061704
2024-06-17,C区,陈静,70,32,0,13,W061705
2024-06-17,C区,刘洋,105,50,1,26,W061706
2024-06-17,D区,周涛,45,21,0,9,W061707
2024-06-17,D区,孙丽,222,112,6,90,W061708
2024-06-17,A区,李娜,122,58,2,32,W061709
2024-06-17,B区,王强,118,56,1,28,W061710
